variables,N,NW,S
ws,84.29 (0.50) a,83.35 (0.37) a,89.16 (0.33) b
w27,8.71 (0.04) a,8.24 (0.03) b,8.37 (0.02) c
w2,13.16 (0.08) a,13.10 (0.06) a,14.18 (0.05) b
wr,49.32 (0.21) a,46.56 (0.16) b,47.74 (0.13) c
wt,152.06 (0.81) a,147.27 (0.60) b,157.13 (0.53) c
cr,85.98 (0.37) a,81.17 (0.27) b,83.23 (0.22) c
cs,146.93 (0.86) a,145.30 (0.64) a,155.44 (0.57) b
c2,22.95 (0.15) a,22.85 (0.11) a,24.73 (0.10) b
c27,15.19 (0.06) a,14.37 (0.05) b,14.59 (0.04) c
ct,265.07 (1.41) a,256.72 (1.05) b,273.91 (0.93) c
