variables,CAM,CAN,DIL,DUR,GEN,MON,POQ,TRE
ws,84.29 (0.50) a,93.51 (0.51) b,68.61 (0.97) c,63.71 (0.88) c,82.50 (0.46) a,109.32 (0.83) d,86.85 (0.51) e,85.06 (0.75) ae
w27,8.71 (0.04) a,8.36 (0.03) b,7.41 (0.07) c,7.11 (0.07) d,8.15 (0.03) e,9.90 (0.06) f,8.44 (0.04) g,8.25 (0.05) b
w2,13.16 (0.08) a,14.91 (0.09) b,10.88 (0.16) c,9.85 (0.14) c,13.01 (0.08) a,17.17 (0.14) d,13.81 (0.09) e,13.47 (0.13) ae
wr,49.32 (0.21) a,48.47 (0.19) ab,41.70 (0.44) c,39.30 (0.38) d,43.80 (0.18) e,60.33 (0.35) f,47.79 (0.21) b,46.07 (0.29) g
wt,152.06 (0.81) a,162.95 (0.83) b,124.91 (1.59) c,117.67 (1.45) c,142.12 (0.74) d,193.77 (1.37) e,154.21 (0.84) f,151.19 (1.22) a
cr,85.98 (0.37) a,84.50 (0.33) ab,72.69 (0.76) c,68.51 (0.66) d,76.36 (0.32) e,105.17 (0.61) f,83.32 (0.37) b,80.31 (0.51) g
cs,146.93 (0.86) a,163.01 (0.89) b,119.61 (1.69) c,111.06 (1.53) c,143.82 (0.80) a,190.57 (1.45) d,151.40 (0.89) e,148.28 (1.31) ae
c2,22.95 (0.15) a,25.99 (0.15) b,18.97 (0.28) c,17.17 (0.25) c,22.68 (0.13) a,29.93 (0.24) d,24.08 (0.15) e,23.48 (0.22) ae
c27,15.19 (0.06) a,14.57 (0.06) b,12.92 (0.13) c,12.40 (0.12) d,14.22 (0.05) e,17.26 (0.11) f,14.71 (0.06) g,14.38 (0.09) b
ct,265.07 (1.41) a,284.07 (1.44) b,217.76 (2.78) c,205.12 (2.53) c,247.74 (1.29) d,337.79 (2.38) e,268.83 (1.46) f,263.56 (2.13) a
